id,kanji,reading,char,on,kun,strokes
846,摩擦,まさつ,擦,サツ,す.る・す.れる・-ず.れ・こす.る・こす.れる,17
848,待合室,まちあいしつ,待,タイ,ま.つ・-ま.ち,9
848,待合室,まちあいしつ,合,ゴウ・ガッ・カッ,あ.う・-あ.う・あ.い・あい-・-あ.い・-あい・あ.わす・あ.わせる・-あ.わせる,6
848,待合室,まちあいしつ,室,シツ,むろ,9
849,街角,まちかど,街,ガイ・カイ,まち,12
849,街角,まちかど,角,カク,かど・つの,7
850,真っ先,まっさき,真,シン,ま・ま-・まこと,10
850,真っ先,まっさき,先,セン,さき・ま.ず,6
851,窓口,まどぐち,窓,ソウ・ス,まど・てんまど・けむだし,11
851,窓口,まどぐち,口,コウ・ク,くち,3
854,回り道,まわりみち,回,カイ・エ,まわ.る・-まわ.る・-まわ.り・まわ.す・-まわ.す・まわ.し-・-まわ.し・もとお.る・か.える,6
854,回り道,まわりみち,道,ドウ・トウ,みち・いう,12
855,満員,まんいん,満,マン・バン,み.ちる・み.つ・み.たす,12
855,満員,まんいん,員,イン,,10
857,満点,まんてん,満,マン・バン,み.ちる・み.つ・み.たす,12
857,満点,まんてん,点,テン,つ.ける・つ.く・た.てる・さ.す・とぼ.す・とも.す・ぼち,9
858,見掛け,みかけ,見,ケン,み.る・み.える・み.せる,7
858,見掛け,みかけ,掛,カイ・ケイ,か.ける・-か.ける・か.け・-か.け・-が.け・か.かる・-か.かる・-が.かる・か.かり・-が.かり・かかり・-がかり,11
859,三日月,みかづき,三,サン・ゾウ,み・み.つ・みっ.つ,3
859,三日月,みかづき,日,ニチ・ジツ,ひ・-び・-か,4
859,三日月,みかづき,月,ゲツ・ガツ,つき,4
860,岬,みさき,岬,コウ,みさき,8
862,自ら,みずから,自,ジ・シ,みずか.ら・おの.ずから・おの.ずと,6
863,水着,みずぎ,水,スイ,みず・みず-,4
863,水着,みずぎ,着,チャク・ジャク,き.る・き.せる・つ.く・つ.ける,12
864,店屋,みせや,店,テン,みせ・たな,8
864,店屋,みせや,屋,オク,や,9
865,見出し,みだし,見,ケン,み.る・み.える・み.せる,7
865,見出し,みだし,出,シュツ・スイ,で.る・-で・だ.す・-だ.す・い.でる・い.だす,5
866,道順,みちじゅん,道,ドウ・トウ,みち・いう,12
866,道順,みちじゅん,順,ジュン,,12
867,身分,みぶん,身,シン,み,7
867,身分,みぶん,分,ブン・フン・ブ,わ.ける・わ.け・わ.かれる・わ.かる・わ.かつ,4
868,見本,みほん,見,ケン,み.る・み.える・み.せる,7
868,見本,みほん,本,ホン,もと,5
