kanji,reading,level,pos,meaning_en
気を付ける,きをつける,N2,exp,"""to be careful"""
空～,くう～,N2,unknown,""""""
くしゃみ,くしゃみ,N2,unknown,""""""
くたびれる,くたびれる,N2,unknown,""""""
くだらない,くだらない,N2,unknown,""""""
～口,～くち,N2,unknown,""""""
くっつく,くっつく,N2,unknown,""""""
くっつける,くっつける,N2,unknown,""""""
くどい,くどい,N2,unknown,""""""
くるむ,くるむ,N2,unknown,""""""
くれぐれも,くれぐれも,N2,unknown,""""""
～家,～け,N2,unknown,""""""
～形,～けい,N2,unknown,""""""
～系,～けい,N2,unknown,""""""
～圏,～けん,N2,unknown,""""""
現～,げん～,N2,unknown,""""""
小～,こ～,N2,unknown,""""""
高～,こう～,N2,unknown,""""""
～校,～こう,N2,unknown,""""""
～港,～こう,N2,unknown,""""""
～号,～ごう,N2,unknown,""""""
こうして,こうして,N2,unknown,""""""
～国,～こく,N2,unknown,""""""
ご苦労様,ごくろうさま,N2,exp,"""thank you (for your hard work)"""
こしらえる,こしらえる,N2,unknown,""""""
ごちそうさま,ごちそうさま,N2,unknown,""""""
こちらこそ,こちらこそ,N2,exp,"""it is I who should say so"""
～毎,～ごと,N2,unknown,""""""
〜 (まる) ごと,〜 (まる) ごと,N2,unknown,""""""
こないだ,こないだ,N2,unknown,""""""
ゴム,ゴム,N2,unknown,""""""
御免,ごめん,N2,int,"""I'm sorry"""
ごめんください,ごめんください,N2,unknown,""""""
御覧,ごらん,N2,int,"""(please) try to"""
今～,こん～,N2,unknown,""""""
コンクリート,コンクリート,N2,unknown,""""""
こんばんは,こんばんは,N2,unknown,""""""
再～,さい～,N2,unknown,""""""
最～,さい～,N2,unknown,""""""
(かさを～) さす,(かさを～) さす,N2,unknown,""""""
さようなら,さようなら,N2,unknown,""""""
さわやか,さわやか,N2,unknown,""""""
～山,～さん,N2,unknown,""""""
～産,～さん,N2,unknown,""""""
